帕克索尔语词汇,IPA音标,TTS友好发音拼写
tredje,/ˈtrɛːdʲjɛ/,tray-dyeh
fjärde,/ˈfjæːrdɛ/,fyair-deh
femte,/ˈfɛmːtɛ/,femm-teh
sjätte,/ˈɧɛtːɛ/,shett-eh
sjunde,/ˈɧɵnːdɛ/,shuhn-deh
åttonde,/ˈoːtːɔnːdɛ/,oht-ton-deh
nionde,/ˈniːɔnːdɛ/,nee-on-deh
tionde,/ˈɕiːɔnːdɛ/,shee-on-deh
halva,/ˈhalːvɑ/,hal-vah
alla,/ˈalːɑ/,aal-lah
några,/ˈnoːgrɑ/,nohg-rah
många,/ˈmɔŋːɑ/,mong-gah
få,/foː/,foh
någon,/ˈnoːjɔn/,noh-yon
ingen,/ˈɪŋɛn/,ing-en
nun-persön,/nun pɛrˈsøːn/,noon-per-suuhn
nun-ting,/nun tiːŋ/,noon-teeng
allting,/ˈalːtiŋ/,aal-ting
ingenting,/ˈɪŋɛnˌtiːŋ/,ing-en-teeng
här,/hæːr/,hair
där,/dæːr/,dair
överallt,/ˌøːvɛrˈalːt/,uh-ver-aalt
ingenstans,/ˈɪŋɛnsˌtɑːns/,ing-ens-taans
upp,/ɵp/,uhp
ner,/neːr/,nair
fram,/fram/,fram
tillbaka,/ˌtɪlˈbɑːkɑ/,til-baa-kah
inne,/ˈɪnːɛ/,in-neh
ute,/ˈʉːtɛ/,oo-teh
bredvid,/ˈbreːdˌviːd/,brayd-veed
mellan,/ˈmɛlːɑn/,mel-laahn
om,/ɔm/,om
för,/føːr/,fuhr
från,/frɔn/,fron
genom,/jeˈnuːm/,yeh-num
för att,/føːr ˈat/,fuhr aht
fastän,/fasˈtæːn/,fas-tain
när,/næːr/,nair
tills,/tɪls/,tils
sedan,/ˈseːdɑn/,say-dan
om inte,/ɔm ˈɪnːtɛ/,om in-teh
om,/ɔm/,om
ah,/ɑː/,ah
oh,/oː/,oh
va,/vɑː/,vah
aj,/ɑːj/,aay
mm,/m/,m
okej,/oˈkeːj/,oh-kay
vänligen,/ˈvɛnːlɪjɛn/,ven-lij-en
ursäkta,/ɵrˈsɛkːtɑ/,ur-sek-tah
det är okej,/deː ɛr oˈkeːj/,day air oh-kay
Fozank mova,/ˈfoːzɑŋk ˈmoːvɑ/,foh-zaangk moh-vah
inget att tacka för,/ˈɪŋɛt at ˈtakːɑ føːr/,ing-et aht tak-kah fuhr
Zakil hel,/ˈzɑːkil heːl/,zah-keel hayl
välkommen,/ˈvɛlːkɔmɛn/,vel-koh-men
ta hand om dig,/tɑː hɑːnd ɔm diːj/,tah haand om dihy
Gud välsigne dig,/guːd ˈvɛlˌsiːɲɛ diːj/,good vel-see-nyeh dihy
Fred vare med dig,/freːd ˈvɑːrɛ meːd diːj/,frayd vaa-reh mayd dihy
foznol,/ˈfoːznɔl/,fohz-nohl
bökahel,/ˈbøːkɑheːl/,buh-kah-hayl
avishel,/ˈɑːviˌʃeːl/,aa-vee-shayl
bökanol,/ˈbøːkɑnɔl/,buh-kah-nohl
borde,/ˈbɔrːdɛ/,boord-eh
kan,/kɑːn/,kaan
vill,/vɪl/,vil
behöver,/bɛˈhøːvɛr/,beh-huh-ver
önskar,/ˈøːnskɑr/,uhns-kahr
kropp,/krɔp/,krop
huvud,/ˈhuːvɵd/,hoo-vuhd
öga,/ˈøːjɑ/,uh-yah
öra,/ˈøːrɑ/,uh-rah
näsa,/ˈnæːsɑ/,nay-sah
mun,/mɵn/,muhn
hand,/hanːd/,haand
fot,/fuːt/,foot
hjärta,/ˈjɛːʈːɑ/,yair-tah
blod,/bluːd/,blood
ben,/beːn/,bayn
hud,/huːd/,hood
hår,/hoːr/,hohr
kläder,/ˈklæːdɛr/,klay-der
skor,/skuːr/,skoor
hatt,/hat/,hat
bröd,/bruːd/,brood
kött,/ɕœt/,shuht
fisk,/fɪsk/,fisk
grönsaker,/ˈjrøːnsɑːkɛr/,yruhn-saa-ker
ris,/riːs/,rees
nudlar,/ˈnɵːdlɑr/,nuud-lahr
soppa,/ˈsɔpːɑ/,sop-pah
te,/teː/,teh
kaffe,/ˈkafːɛ/,kaf-feh
mjölk,/mjœlk/,myuhlk
vatten,/ˈvatːɛn/,vat-ten
vin,/viːn/,veen
medicin,/meːdɪˈsiːn/,may-dee-seen
sjukdom,/ˈɧʉːkduːm/,shuhk-doom
läkare,/ˈlæːkɑrɛ/,lay-kah-reh
sjukhus,/ˈɧʉːkhuːs/,shuhk-hoos
behandling,/bɛˈhɑːndlɪŋ/,beh-haan-dling
återhämtning,/oːtɛrˈhɛmːtnɪŋ/,oh-ter-hemm-tning
smärta,/ˈsmærːtɑ/,smair-tah
bekväm,/bɛˈkʋɛm/,beh-kvem
hunger,/ˈhɵŋːɛr/,hung-ehr
törst,/tœrst/,turst
trötthet,/ˈtrœtːheːt/,truhtt-hayt
energi,/ɛnɛrˈjiː/,eh-ner-yee
regn,/rɛŋn/,rengn
snö,/snøː/,snuh
vind,/vɪnːd/,vind
moln,/muːln/,mooln
åska,/ˈoːskɑ/,oh-skah
blixt,/blɪkst/,blikst
regnbåge,/ˈrɛŋnˌboːjɛ/,rengn-boh-yeh
årstid,/ˈoːʂtiːd/,ohr-steed
månad,/ˈmoːnɑːd/,moh-naad
vecka,/ˈvɛkːɑ/,vek-kah
timme,/ˈtɪmːɛ/,tim-meh
minut,/miˈnuːt/,mee-noot
sekund,/seˈkɵnːd/,seh-kuhnnd
dag,/dɑːj/,daay
morgon,/ˈmɔrːjɔn/,mor-yon
middag,/ˈmɪdːɑːj/,mid-daay
kväll,/kvɛl/,kvel
midnatt,/ˈmɪdːnɑt/,mid-nat
gryning,/ˈjryːnɪŋ/,yruh-ning
skymning,/ˈɧʏmnɪŋ/,shuhm-ning
färg,/færːj/,fair-y
röd,/ruːd/,rood
blå,/bloː/,bloh
grön,/jrøːn/,yruhn
gul,/guːl/,gool
svart,/svɑːrt/,svaart
vit,/viːt/,veet
grå,/groː/,groh
brun,/bruːn/,broon
lila,/ˈliːlɑ/,lee-lah
orange,/ɔrˈɑːnʒɛ/,or-aahn-zheh
rosa,/ˈruːsɑ/,roo-sah
metall,/meˈtal/,meh-tal
guld,/gɵld/,guld
silver,/ˈsɪlvɛr/,sil-ver
koppar,/ˈkɔpːɑr/,kop-par
järn,/jærːn/,yairn
glas,/glɑːs/,glaas
tyg,/tyːj/,tyyh
läder,/ˈlæːdɛr/,lay-der
papper,/ˈpapːɛr/,pap-per
trä,/træː/,tray
sten,/steːn/,stayn
sand,/sanːd/,saand
jord,/juːrd/,yurd
is,/iːs/,ees
eld,/ɛld/,eld
rök,/ruːk/,rook
ånga,/ˈoːŋɑ/,oong-ah
djur,/jʉːr/,yuhur
fågel,/ˈfoːjɛl/,foh-yel
insekt,/ˈɪnˌsɛkt/,in-sekt
häst,/hɛst/,hest
hund,/hɵnːd/,huhnd
katt,/kat/,kat
ko,/kuː/,koo
får,/foːr/,fohr
gris,/jriːs/,yrees
lejon,/leˈjuːn/,leh-yoon
tiger,/ˈtiːjɛr/,tee-yer
björn,/bjœrn/,byuhrn
varg,/vɑːrj/,vaary
orm,/ɔrm/,orm
groda,/ˈgruːdɑ/,groo-dah
fjäril,/ˈjærːɪl/,yair-il
bi,/biː/,bee
myra,/ˈmyːrɑ/,myuh-rah
växt,/vɛkst/,vekst
gräs,/jræːs/,yraas
blomma,/ˈblɔmːɑ/,blom-mah
träd,/træːd/,traad
buske,/ˈbɵːskɛ/,buhs-keh
svamp,/svamp/,svamp
mossa,/ˈmɔsːɑ/,mos-sah
alger,/ˈalːjɛr/,aal-yer
natur,/naˈtuːr/,nah-tuur
miljö,/ˈmɪljuː/,mil-yoo
ekologi,/ekoˈloːji/,eh-koh-loh-yee
förorening,/fœrʊˈreːnɪŋ/,fuhr-oh-ray-ning
renhet,/ˈreːnheːt/,rayn-hayt
grumlig,/ˈgrɵmːlɪj/,gruhm-lij
klar,/klɑːr/,klaar
ljus,/jʉːs/,yuhs
mörk,/mœrk/,murk
glittra,/ˈjlɪtːrɑ/,yliht-trah
blinka,/ˈblɪŋːkɑ/,bling-kah
lys,/lyːs/,luys
reflektera,/rɛflɛkˈteːrɑ/,reh-flek-tay-rah
absorbera,/absɔrˈbeːrɑ/,ab-sor-bay-rah
transparent,/transpaˈrɛnt/,trans-pah-rent
opak,/oˈpaːk/,oh-paak
translucent,/transˈlʉːsent/,trans-luh-sent
hård,/hoːrd/,hood
mjuk,/jʉːk/,yuuk
elastisk,/eˈlastɪsk/,eh-las-tisk
spröd,/sprøːd/,spruhd
seg,/seːj/,say
slät,/slæːt/,slaht
rå,/roː/,roh
fin,/fiːn/,feen
grov,/gruːv/,groov
fuktig,/ˈfɵkːtɪj/,fuhk-tij
torr,/tɔr/,tor
fuktig,/ˈfɵkːtɪj/,fuhk-tij
fet,/feːt/,fayt
fräsch,/frɛʃ/,fresh
färsk,/færːsk/,fairshk
rutten,/ˈrɵtːɛn/,ruht-ten
gammal,/ˈjamːɑl/,yaam-aal
ny,/nyː/,nyuh
forntida,/ˈfɔrnˌtiːdɑ/,fohrn-tee-dah
modern,/mɔˈdɛrn/,moh-dern
antik,/anˈtiːk/,an-teek
nutida,/ˈnuːˌtiːdɑ/,noo-tee-dah
tradition,/tradiˈɧuːn/,trah-dee-shuuhn
sed,/seːd/,sayd
kultur,/kɵlˈtuːr/,kul-tuur
civilisation,/sɪvɪlɪsaˈɧuːn/,sih-vih-lih-sah-shuuhn
samhälle,/samˈhɛlːɛ/,sam-hell-eh
gemenskap,/jeˈmɛnːskɑːp/,yeh-men-skaap
grupp,/grɵp/,gruhp
individ,/ˈɪndɪˌviːd/,in-di-veed
kollektiv,/kɔlɛkˈtiːv/,koh-lek-teev
land,/lanːd/,laand
stad,/staːd/,staad
landet,/ˈlanːdɛt/,laan-det
by,/byː/,byuh
gata,/ˈgɑːtɑ/,gaah-tah
torg,/tɔrj/,tory
marknad,/ˈmarknɑːd/,mark-naad
butik,/bʉˈtiːk/,byuh-teek
skola,/ˈskuːlɑ/,skoo-lah
universitet,/ɵnivɛrsiˈteːt/,uh-nee-ver-see-tayt
bibliotek,/ˈbiːblɪʊˌteːk/,beeb-lee-oh-tayk
museum,/myˈseːɵm/,myuh-say-uhm
teater,/teˈɑːtɛr/,teh-aah-ter
konsertsal,/kɔnˈsɛrʦˌsɑːl/,kon-serts-saal
arena,/aˈreːnɑ/,ah-ray-nah
park,/parːk/,paark
trädgård,/ˈtræːdˌgoːrd/,trayd-gohrd
gård,/goːrd/,gohrd
fabrik,/faˈbriːk/,fah-breek
kontor,/kɔnˈtuːr/,kon-tuur
hem,/heːm/,haym
rum,/ruːm/,room
kök,/ɕøːk/,shuhk
badrum,/ˈbɑːdruːm/,baad-room
sovrum,/ˈsuːvruːm/,soov-room
vardagsrum,/ˈvɑːrdɑjsˌruːm/,vaard-ays-room
matsal,/ˈmatˌsɑːl/,maat-saal
dörr,/dœr/,duhr
fönster,/ˈfœnːstɛr/,fuhn-stehr
vägg,/vɛj/,vay
golv,/gɔlv/,golv
tak,/tɑːk/,taak
möbel,/ˈmøːbɛl/,muh-bel
bord,/buːrd/,boord
stol,/stuːl/,stool
soffa,/ˈsɔfːɑ/,sof-fah
säng,/sɛŋ/,seng
skåp,/ʃoːp/,shohp
bokhylla,/ˈbuːkhʏlːɑ/,book-hyll-lah
spegel,/ˈspeːjɛl/,spay-yel
lampa,/ˈlampɑ/,lamp-ah
elapparat,/ˈeːlɑpˌpɑːrɑːt/,ayl-ap-paa-raat
telefon,/teˈleːfuːn/,teh-lay-foon
dator,/dɑːˈtuːr/,dah-tuur
tv,/teː ˈveː/,teh vay
radio,/ˈrɑːdɪˌʊ/,raa-dee-oh
kamera,/kɑˈmeːrɑ/,kah-may-rah
klocka,/ˈklɔkːɑ/,klok-kah
kalender,/kɑˈlɛnːdɛr/,kah-len-der
karta,/ˈkarːtɑ/,kaar-tah
kompass,/kɔmˈpas/,kom-pas
hammare,/ˈhamːɑrɛ/,ham-mah-reh
skruvmejsel,/ˈskruːvˌmɛjːsɛl/,skroov-may-sel
såg,/soːj/,sohy
sax,/saks/,saks
nål,/noːl/,nohl
tråd,/troːd/,trohd
knapp,/nap/,nap
dragkedja,/ˈdraːjkɛdˌjɑː/,draay-keh-dyah
nyckel,/ˈnʏkːɛl/,nyhk-kel
lås,/loːs/,lohs
plånbok,/ˈplɔnːbɔk/,plon-book
påse,/ˈpʰoːsɛ/,phoh-seh
låda,/ˈloːdɑ/,lohd-ah
ask,/ask/,ask
flaska,/ˈflaska/,flas-kah
glas,/glɑːs/,glaas
tallrik,/ˈtalːrɪk/,tal-rik
skål,/skoːl/,skohl
sked,/skiːd/,skeed
gaffel,/ˈjafːɛl/,yaf-fel
kniv,/niːv/,neev
pinnar,/ˈpɪnːɑr/,pin-naahr
servett,/sɛrˈvɛt/,ser-vet
bordsduk,/ˈbuːrdˌdʉːk/,boord-duuk
gryta,/ˈjryːtɑ/,yryuh-tah
stekpanna,/ˈsteːkˌpanːɑ/,stayk-pan-naah
ugn,/ɵŋ/,uhn
kylskåp,/ˈɕyːlˌskoːp/,shyuhl-skohp
tvättmaskin,/ˈtvɛtːˌmaskiːn/,tvet-mask-een
dammsugare,/ˈdamːˌsuːjɑrɛ/,dam-soo-yah-reh
kvast,/kvast/,k vast
mops,/mɔps/,mops
trasa,/ˈtrɑːsɑ/,traa-sah
tvål,/tvoːl/,tvohl
schampo,/ˈɧamːpu/,sham-poo
tandkräm,/ˈtanːdˌkræːm/,taand-kraam
tandborste,/ˈtanːdˌbɔʂtɛ/,taand-bors-teh
kam,/kɑːm/,kaam
handduk,/ˈhanːdɵk/,haand-duk
badrock,/ˈbɑːdruːk/,baad-rook
tröja,/ˈtrøːjɑ/,truh-yah
byxor,/ˈbyːkʂu/,byuuk-shu
kjol,/ɕuːl/,shuul
jacka,/ˈjakːɑ/,yak-kah
rock,/rɔk/,rok
skjorta,/ˈɧʊrːtɑ/,shuurt-ah
t-shirt,/tiː ˈʃiːrt/,tee shiirt
underkläder,/ˈɵnːdɛrˌklæːdɛr/,uhn-der-klay-der
strumpor,/ˈstrɵmːpu/,struhm-poo
handskar,/ˈhanːdskɑr/,haand-skar
svep,/sveːp/,svayp
bälte,/ˈbɛlːtɛ/,bell-teh
smycke,/ˈsmʏkːɛ/,smuhk-keh
halsband,/ˈhalːsbɑnːd/,haals-band
örhänget,/ˈøːrˌhɛŋːɛt/,uh-hen-get
ring,/rɪŋ/,ring
armband,/ˈarːmbɑnːd/,arm-band
glasögon,/ˈglɑːsˌøːjuːn/,glaas-uh-yoon
solglasögon,/ˈsuːlˌglɑːsˌøːjuːn/,sool-glaas-uh-yoon
paraply,/pɑˈrɑːply/,pah-raa-plyuh
ryggsäck,/ˈrʏjˌsɛk/,ryuh-sek
handväska,/ˈhanːdˌvɛːskɑ/,haand-vay-skah
portfölj,/pɔrtˈfœlːj/,port-fuhy
resväska,/ˈreːsˌvɛːskɑ/,rays-vay-skah
fordon,/fɔrˈduːn/,for-doon
bil,/biːl/,beel
cykel,/ˈsyːkɛl/,syuh-kel
motorcykel,/ˈmuːtuːrˌsyːkɛl/,moo-toor-syuh-kel
buss,/bɵs/,buhs
tåg,/toːj/,tohy
flygplan,/ˈflyːjˌplɑːn/,flyuh-plan
båt,/boːt/,boht
skepp,/ɕɛp/,shehp
ubåt,/ˈʉːˌboːt/,uh-boht
helikopter,/heˈliːkɔptɛr/,heh-lee-kop-ter
raket,/raˈkeːt/,rah-kayt
satellit,/sateˈliːt/,sah-teh-leet
rymdskepp,/ˈryːmdˌɕɛp/,ryuhmd-shehp
motorväg,/ˈmuːtuːrˌvɛːj/,moo-toor-vay
järnväg,/ˈjærːnˌvɛːj/,yairn-vay
flygplats,/ˈflyːjˌplats/,flyuh-plaats
hamn,/hamːn/,haamn
station,/staˈɧuːn/,stah-shuuhn
parkering,/paʁˈkeːriŋ/,par-keh-ring
trafikljus,/ˈtrɑːfɪkˌlyːs/,traa-fik-luys
vägmärke,/ˈvɛːjˌmærːkɛ/,vay-mair-keh
norr,/nɔr/,nor
